id,compartment,metabolite_dcid,metabolic_compartment_dcid
m02679c,dcs:CellularCompartmentCytosol,bio/CHEMBL3904487,bio/m02679c
m02679m,dcs:CellularCompartmentMitochondria,bio/CHEMBL3904487,bio/m02679m
m02680c,dcs:CellularCompartmentCytosol,bio/CHEMBL2110806,bio/m02680c
m02680s,dcs:CellularCompartmentExtracellular,bio/CHEMBL2110806,bio/m02680s
m02681c,dcs:CellularCompartmentCytosol,bio/CHEMBL574817,bio/m02681c
m02681g,dcs:CellularCompartmentGolgiApparatus,bio/CHEMBL574817,bio/m02681g
m02681l,dcs:CellularCompartmentLysosome,bio/CHEMBL574817,bio/m02681l
m02682c,dcs:CellularCompartmentCytosol,bio/HMDB0001134,bio/m02682c
m02682g,dcs:CellularCompartmentGolgiApparatus,bio/HMDB0001134,bio/m02682g
m02682l,dcs:CellularCompartmentLysosome,bio/HMDB0001134,bio/m02682l
m02683c,dcs:CellularCompartmentCytosol,bio/MNXM1319,bio/m02683c
m02684c,dcs:CellularCompartmentCytosol,bio/HMDB0008800,bio/m02684c
m02684g,dcs:CellularCompartmentGolgiApparatus,bio/HMDB0008800,bio/m02684g
m02684l,dcs:CellularCompartmentLysosome,bio/HMDB0008800,bio/m02684l
m02684r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0008800,bio/m02684r
m02684s,dcs:CellularCompartmentExtracellular,bio/HMDB0008800,bio/m02684s
m02685c,dcs:CellularCompartmentCytosol,bio/HMDB0060631,bio/m02685c
m02685g,dcs:CellularCompartmentGolgiApparatus,bio/HMDB0060631,bio/m02685g
m02685l,dcs:CellularCompartmentLysosome,bio/HMDB0060631,bio/m02685l
m02685m,dcs:CellularCompartmentMitochondria,bio/HMDB0060631,bio/m02685m
m02685r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0060631,bio/m02685r
m02685s,dcs:CellularCompartmentExtracellular,bio/HMDB0060631,bio/m02685s
m02686c,dcs:CellularCompartmentCytosol,bio/MNXM91270,bio/m02686c
m02687c,dcs:CellularCompartmentCytosol,bio/pentadecanoyl-[ACP],bio/m02687c
m02688c,dcs:CellularCompartmentCytosol,bio/HMDB0062517,bio/m02688c
m02688m,dcs:CellularCompartmentMitochondria,bio/HMDB0062517,bio/m02688m
m02688r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062517,bio/m02688r
m02689c,dcs:CellularCompartmentCytosol,bio/HMDB0062518,bio/m02689c
m02689m,dcs:CellularCompartmentMitochondria,bio/HMDB0062518,bio/m02689m
m02689r,dcs:CellularCompartmentEndoplasmicReticulum,bio/HMDB0062518,bio/m02689r
m02690c,dcs:CellularCompartmentCytosol,bio/CHEMBL460025,bio/m02690c
m02690l,dcs:CellularCompartmentLysosome,bio/CHEMBL460025,bio/m02690l
m02690r,dcs:CellularCompartmentEndoplasmicReticulum,bio/CHEMBL460025,bio/m02690r
