reactionID,hm_38_gene,hm_19_gene
bio/ILEGLNGLUt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/ILEGLYARGt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/ILEPROLYSt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/ILESERARGt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/ILETRPTYRt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LEUALAARGt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LEUASNASPt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LEUASPLYSt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LEULEUTRPt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LEUPROt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LEUPROARGt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LEUSERTRPt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LEUTRPt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LEUTRPARGt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LEUTYRTYRt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LEUVALt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LYSARGLEUt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LYSCYSHISt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LYSGLNPHEt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LYSGLUGLUt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LYSLYSLYSt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LYSPHEILEt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LYSTRPARGt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LYSTYRILEt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LYSVALPHEt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/LYSVALTRPt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/METARGLEUt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/METASNTYRt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/METGLNTYRt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/METGLYARGt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/METHISLYSt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/METMETILEt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/METPHEARGt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/METTRPPHEt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PHEASNMETt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PHEASPt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PHEGLNPHEt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PHELEUt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PHELEUASPt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PHELEUHISt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PHELYSALAt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PHELYSPROt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PHEPHEt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PHEPHEASNt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PHEPHETHRt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PHEPROARGt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PHESERTRPt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PHETHRLYSt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PHETRPLEUt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PHETYRt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PHETYRGLNt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PHETYRLYSt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
bio/PROARGASPt,bio/hg38_SLC15A1,bio/hg19_SLC15A1
